ts,device,co,humidity,light,lpg,motion,smoke,temp
1594512189,1c:bf:ce:15:ec:4d,0.004383044,78.5,TRUE,0.007000264,FALSE,0.018562862,27
1594512190,b8:27:eb:bf:9d:51,0.004946006,50.9,FALSE,0.007639727,FALSE,0.020379652,22.6
1594512193,00:0f:00:70:91:0a,0.002905015,76.09999847,FALSE,0.005198697,FALSE,0.013508733,19.79999924
1594512194,b8:27:eb:bf:9d:51,0.004960424,50.9,FALSE,0.007655831,FALSE,0.020425543,22.6
1594512194,1c:bf:ce:15:ec:4d,0.004391004,78.40000153,TRUE,0.007009459,FALSE,0.018588908,27
1594512198,b8:27:eb:bf:9d:51,0.004946035,50.9,FALSE,0.007639759,FALSE,0.020379744,22.6
1594512199,1c:bf:ce:15:ec:4d,0.004395042,78.40000153,TRUE,0.007014121,FALSE,0.018602115,27
1594512200,00:0f:00:70:91:0a,0.002840089,76,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512202,b8:27:eb:bf:9d:51,0.004986056,51,FALSE,0.007684428,FALSE,0.020507053,22.7
1594512205,b8:27:eb:bf:9d:51,0.004984649,51,FALSE,0.00768286,FALSE,0.020502582,22.7
1594512206,00:0f:00:70:91:0a,0.002880499,76,FALSE,0.005166923,FALSE,0.013420558,19.70000076
1594512206,1c:bf:ce:15:ec:4d,0.004391004,79.09999847,TRUE,0.007009459,FALSE,0.018588908,27
1594512209,b8:27:eb:bf:9d:51,0.004941779,51,FALSE,0.007635003,FALSE,0.020366191,22.7
1594512211,1c:bf:ce:15:ec:4d,0.004391004,78.19999695,TRUE,0.007009459,FALSE,0.018588908,27
1594512211,00:0f:00:70:91:0a,0.002905015,76,FALSE,0.005198697,FALSE,0.013508733,19.79999924
1594512213,b8:27:eb:bf:9d:51,0.00493755,50.9,FALSE,0.007630276,FALSE,0.020352724,22.7
1594512216,00:0f:00:70:91:0a,0.002840089,76.19999695,FALSE,0.005114383,FALSE,0.013274837,19.79999924
1594512216,b8:27:eb:bf:9d:51,0.004970256,50.9,FALSE,0.007666805,FALSE,0.02045682,22.6
1594512217,1c:bf:ce:15:ec:4d,0.004349402,78.30000305,TRUE,0.006961354,FALSE,0.018452669,27
1594512220,b8:27:eb:bf:9d:51,0.00494175,50.9,FALSE,0.007634971,FALSE,0.0203661,22.6
1594512220,1c:bf:ce:15:ec:4d,0.004359263,78.19999695,TRUE,0.006972767,FALSE,0.018484988,27
